Bulbasaur, 1, grass, poison, | —, —, 7, 13, 20, 27, 34, 41, 48, TM03, TM06, TM08, TM09, TM10, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Tackle, Growl, Leech Seed, Vine Whip, Poison Powder, Razor Leaf, Growth, Sleep Powder, Solar Beam, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 16, 32, | Bulbasaur, Ivysaur, Venusaur, | , , , 
Venomoth, 49, bug, poison, | —, —, —, —, 24, 27, 30, 38, 43, 50, TM02, TM04, TM06, TM09, TM10, TM15, TM20, TM21, TM22, TM29, TM30, TM31, TM32, TM33, TM34, TM39, TM44, TM46, TM50, HM05, | Tackle, Disable, Poison Powder, Leech Life, Poison Powder, Leech Life, Stun Spore, Psybeam, Sleep Powder, Psychic, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Hyper Beam, Rage, Mega Drain, Solar Beam, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Swift, Rest, Psywave, Substitute, Flash, | 1, 31, | Venonat, Venomoth, | , , 
Diglett, 50, ground, , | —, 15, 19, 24, 31, 40, TM06, TM08, TM09, TM10, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM44, TM48, TM50, HM01, | Scratch, Growl, Dig, Sand-Attack, Slash, Earthquake, Toxic, Body Slam, Take Down, Double-Edge, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Rest, Rock Slide, Substitute, Cut, | 1, 26, | Diglett, Dugtrio, | , , 
Dugtrio, 51, ground, , | —, —, —, 15, 19, 24, 35, 47, TM06, TM08, TM09, TM10, TM15, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM44, TM48, TM50, HM01, | Scratch, Growl, Dig, Growl, Dig, Sand-Attack, Slash, Earthquake, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Rest, Rock Slide, Substitute, Cut, | 1, 26, | Diglett, Dugtrio, | , , 
Meowth, 52, normal, , | —, —, 12, 17, 24, 33, 44, TM06, TM08, TM09, TM10, TM11, TM12, TM16, TM20, TM24, TM25, TM31, TM32, TM34, TM39, TM40, TM44, TM50, | Scratch, Growl, Bite, Pay Day, Screech, Fury Swipes, Slash, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Pay Day, Rage, Thunderbolt, Thunder, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Substitute, | 1, 28, | Meowth, Persian, | , , 
Persian, 53, normal, , | —, —, —, —, 12, 17, 24, 37, 51, TM06, TM08, TM09, TM10, TM11, TM12, TM15, TM16, TM20, TM24, TM25, TM31, TM32, TM34, TM39, TM40, TM44, TM50, | Scratch, Growl, Bite, Screech, Bite, Pay Day, Screech, Fury Swipes, Slash, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Hyper Beam, Pay Day, Rage, Thunderbolt, Thunder, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Substitute, | 1, 28, | Meowth, Persian, | , , 
Psyduck, 54, water, , | —, 28, 31, 36, 43, 52, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM16, TM17, TM18, TM19, TM20, TM28, TM31, TM32, TM34, TM39, TM40, TM44, TM50, HM03, HM04, | Scratch, Tail Whip, Disable, Confusion, Fury Swipes, Hydro Pump, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Pay Day, Submission, Counter, Seismic Toss, Rage, Dig, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Substitute, Surf, Strength, | 1, 33, | Psyduck, Golduck, | , , 
Golduck, 55, water, , | —, —, —, —, 28, 31, 39, 48, 59, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM16, TM17, TM18, TM19, TM20, TM28, TM31, TM32, TM34, TM39, TM40, TM44, TM50, HM03, HM04, | Scratch, Tail Whip, Disable, Scratch, Tail Whip, Disable, Confusion, Fury Swipes, Hydro Pump, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Pay Day, Submission, Counter, Seismic Toss, Rage, Dig, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Substitute, Surf, Strength, | 1, 33, | Psyduck, Golduck, | , , 
Mankey, 56, fighting, , | —, —, 15, 21, 27, 33, 39, TM01, TM05, TM06, TM08, TM09, TM10, TM16, TM17, TM18, TM19, TM20, TM24, TM25, TM28, TM31, TM32, TM34, TM35, TM39, TM40, TM44, TM48, TM50, HM04, | Scratch, Leer, Karate Chop, Fury Swipes, Focus Energy, Seismic Toss, Thrash, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Pay Day, Submission, Counter, Seismic Toss, Rage, Thunderbolt, Thunder, Dig, Mimic, Double Team, Bide, Metronome, Swift, Skull Bash, Rest, Rock Slide, Substitute, Strength, | 1, 28, | Mankey, Primeape, | , , 
Primeape, 57, fighting, , | —, —, —, —, 15, 21, 27, 37, 46, TM01, TM05, TM06, TM08, TM09, TM10, TM15, TM16, TM17, TM18, TM19, TM20, TM24, TM25, TM28, TM31, TM32, TM34, TM35, TM39, TM40, TM44, TM48, TM50, HM04, | Scratch, Leer, Karate Chop, Fury Swipes, Karate Chop, Fury Swipes, Focus Energy, Seismic Toss, Thrash, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Pay Day, Submission, Counter, Seismic Toss, Rage, Thunderbolt, Thunder, Dig, Mimic, Double Team, Bide, Metronome, Swift, Skull Bash, Rest, Rock Slide, Substitute, Strength, | 1, 28, | Mankey, Primeape, | , , 
Growlithe, 58, fire, , | —, —, 18, 23, 30, 39, 50, TM06, TM08, TM09, TM10, TM20, TM23, TM28, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM50, | Bite, Roar, Ember, Leer, Take Down, Agility, Flamethrower, Toxic, Body Slam, Take Down, Double-Edge, Rage, Dragon Rage, Dig, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Substitute, | 1, , | Growlithe, Arcanine, | , firestone, 
Arcanine, 59, fire, , | —, —, —, —, TM06, TM08, TM09, TM10, TM15, TM20, TM23, TM28, TM30, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM50, | Roar, Ember, Leer, Take Down, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Dragon Rage, Dig, Teleport, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Substitute, | 1, , | Growlithe, Arcanine, | , firestone, 
Poliwag, 60, water, , | —, 16, 19, 25, 31, 38, 45, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM29, TM31, TM32, TM34, TM40, TM44, TM46, TM50, HM03, | Bubble, Hypnosis, Water Gun, Double Slap, Body Slam, Amnesia, Hydro Pump, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Psychic, Mimic, Double Team, Bide, Skull Bash, Rest, Psywave, Substitute, Surf, | 1, 25, , | Poliwag, Poliwhirl, Poliwrath, | , , waterstone, 
Poliwhirl, 61, water, , | —, —, —, 16, 19, 26, 33, 41, 49, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM17, TM18, TM19, TM20, TM26, TM27, TM29, TM31, TM32, TM34, TM35, TM40, TM44, TM46, TM50, HM03, HM04, | Bubble, Hypnosis, Water Gun, Hypnosis, Water Gun, Double Slap, Body Slam, Amnesia, Hydro Pump, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Submission, Counter, Seismic Toss, Rage, Earthquake, Fissure, Psychic, Mimic, Double Team, Bide, Metronome, Skull Bash, Rest, Psywave, Substitute, Surf, Strength, | 1, 25, , | Poliwag, Poliwhirl, Poliwrath, | , , waterstone, 
Poliwrath, 62, water, fighting, | —, —, —, —, 16, 19, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM17, TM18, TM19, TM20, TM26, TM27, TM29, TM31, TM32, TM34, TM35, TM40, TM44, TM46, TM50, HM03, HM04, | Hypnosis, Water Gun, Double Slap, Body Slam, Hypnosis, Water Gun, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Earthquake, Fissure, Psychic, Mimic, Double Team, Bide, Metronome, Skull Bash, Rest, Psywave, Substitute, Surf, Strength, | 1, 25, , | Poliwag, Poliwhirl, Poliwrath, | , , waterstone, 
Abra, 63, psychic, , | —, TM01, TM06, TM08, TM09, TM10, TM17, TM18, TM19, TM20, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM40, TM44, TM45, TM46, TM49, TM50, HM05, | Teleport, Mega Punch, Toxic, Body Slam, Take Down, Double-Edge, Submission, Counter, Seismic Toss, Rage, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Flash, | 1, 16, , | Abra, Kadabra, Alakazam, | , , Trade, 
Kadabra, 64, psychic, , | —, —, —, 16, 20, 27, 31, 38, 42, TM01, TM06, TM08, TM09, TM10, TM17, TM18, TM19, TM20, TM28, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM40, TM44, TM45, TM46, TM49, TM50, HM05, | Teleport, Confusion, Disable, Confusion, Disable, Psybeam, Recover, Psychic, Reflect, Mega Punch, Toxic, Body Slam, Take Down, Double-Edge, Submission, Counter, Seismic Toss, Rage, Dig, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Flash, | 1, 16, , | Abra, Kadabra, Alakazam, | , , Trade, 
Alakazam, 65, psychic, , | —, —, —, 16, 20, 27, 31, 38, 42, TM01, TM06, TM08, TM09, TM10, TM15, TM17, TM18, TM19, TM20, TM28, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM40, TM44, TM45, TM46, TM49, TM50, HM05, | Teleport, Confusion, Disable, Confusion, Disable, Psybeam, Recover, Psychic, Reflect, Mega Punch, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Dig, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Flash, | 1, 16, , | Abra, Kadabra, Alakazam, | , , Trade, 
Machop, 66, fighting, , | —, 20, 25, 32, 39, 46, TM01, TM05, TM06, TM08, TM09, TM10, TM17, TM18, TM19, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM35, TM38, TM40, TM44, TM48, TM50, HM04, | Karate Chop, Low Kick, Leer, Focus Energy, Seismic Toss, Submission, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Submission, Counter, Seismic Toss, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Metronome, Fire Blast, Skull Bash, Rest, Rock Slide, Substitute, Strength, | 1, 28, , | Machop, Machoke, Machamp, | , , Trade, 
Machoke, 67, fighting, , | —, —, —, 20, 25, 36, 44, 52, TM01, TM05, TM06, TM08, TM09, TM10, TM17, TM18, TM19, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM35, TM38, TM40, TM44, TM48, TM50, HM04, | Karate Chop, Low Kick, Leer, Low Kick, Leer, Focus Energy, Seismic Toss, Submission, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Submission, Counter, Seismic Toss, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Metronome, Fire Blast, Skull Bash, Rest, Rock Slide, Substitute, Strength, | 1, 28, , | Machop, Machoke, Machamp, | , , Trade, 
Machamp, 68, fighting, , | —, —, —, 20, 25, 36, 44, 52, TM01, TM05, TM06, TM08, TM09, TM10, TM15, TM17, TM18, TM19, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM35, TM38, TM40, TM44, TM48, TM50, HM04, | Karate Chop, Low Kick, Leer, Low Kick, Leer, Focus Energy, Seismic Toss, Submission, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Metronome, Fire Blast, Skull Bash, Rest, Rock Slide, Substitute, Strength, | 1, 28, , | Machop, Machoke, Machamp, | , , Trade, 
Bellsprout, 69, grass, poison, | —, —, 13, 15, 18, 21, 26, 33, 42, TM03, TM06, TM09, TM10, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Vine Whip, Growth, Wrap, Poison Powder, Sleep Powder, Stun Spore, Acid, Razor Leaf, Slam, Swords Dance, Toxic, Take Down, Double-Edge, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 21, , | Bellsprout, Weepinbell, Victreebel, | , , leafstone, 
Weepinbell, 70, grass, poison, | —, —, —, 13, 15, 18, 23, 29, 38, 49, TM03, TM06, TM09, TM10, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Vine Whip, Growth, Wrap, Wrap, Poison Powder, Sleep Powder, Stun Spore, Acid, Razor Leaf, Slam, Swords Dance, Toxic, Take Down, Double-Edge, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 21, , | Bellsprout, Weepinbell, Victreebel, | , , leafstone, 
Victreebel, 71, grass, poison, | —, —, —, —, 13, 15, 18, TM03, TM06, TM08, TM09, TM10, TM15, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Sleep Powder, Stun Spore, Acid, Razor Leaf, Wrap, Poison Powder, Sleep Powder, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 21, , | Bellsprout, Weepinbell, Victreebel, | , , leafstone, 
Tentacool, 72, water, poison, | —, 7, 13, 18, 22, 27, 33, 40, 48, TM03, TM06, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM21, TM31, TM32, TM33, TM34, TM40, TM44, TM50, HM01, HM03, | Acid, Supersonic, Wrap, Poison Sting, Water Gun, Constrict, Barrier, Screech, Hydro Pump, Swords Dance, Toxic, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Mega Drain, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, Cut, Surf, | 1, 30, | Tentacool, Tentacruel, | , , 
Tentacruel, 73, water, poison, | —, —, —, 7, 13, 18, 22, 27, 35, 43, 50, TM03, TM06, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM20, TM21, TM31, TM32, TM33, TM34, TM40, TM44, TM50, HM01, HM03, | Acid, Supersonic, Wrap, Supersonic, Wrap, Poison Sting, Water Gun, Constrict, Barrier, Screech, Hydro Pump, Swords Dance, Toxic, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Rage, Mega Drain, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, Cut, Surf, | 1, 30, | Tentacool, Tentacruel, | , , 
Geodude, 74, rock, ground, | —, 11, 16, 21, 26, 31, 36, TM01, TM06, TM08, TM09, TM10, TM17, TM18, TM19, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM35, TM36, TM38, TM44, TM47, TM48, TM50, HM04, | Tackle, Defense Curl, Rock Throw, Self-Destruct, Harden, Earthquake, Explosion, Mega Punch, Toxic, Body Slam, Take Down, Double-Edge, Submission, Counter, Seismic Toss, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Metronome, Self-Destruct, Fire Blast, Rest, Explosion, Rock Slide, Substitute, Strength, | 1, 25, , | Geodude, Graveler, Golem, | , , Trade, 
Graveler, 75, rock, ground, | —, —, 11, 16, 21, 29, 36, 43, TM01, TM06, TM08, TM09, TM10, TM17, TM18, TM19, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM35, TM36, TM38, TM44, TM47, TM48, TM50, HM04, | Tackle, Defense Curl, Defense Curl, Rock Throw, Self-Destruct, Harden, Earthquake, Explosion, Mega Punch, Toxic, Body Slam, Take Down, Double-Edge, Submission, Counter, Seismic Toss, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Metronome, Self-Destruct, Fire Blast, Rest, Explosion, Rock Slide, Substitute, Strength, | 1, 25, , | Geodude, Graveler, Golem, | , , Trade, 
Golem, 76, rock, ground, | —, —, 11, 16, 21, 29, 36, 43, TM01, TM05, TM06, TM08, TM09, TM10, TM15, TM17, TM18, TM19, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM35, TM36, TM38, TM44, TM47, TM48, TM50, HM04, | Tackle, Defense Curl, Defense Curl, Rock Throw, Self-Destruct, Harden, Earthquake, Explosion, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Metronome, Self-Destruct, Fire Blast, Rest, Explosion, Rock Slide, Substitute, Strength, | 1, 25, , | Geodude, Graveler, Golem, | , , Trade, 
Ponyta, 77, fire, , | —, 30, 32, 35, 39, 43, 48, TM06, TM07, TM08, TM09, TM10, TM20, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM50, | Ember, Tail Whip, Stomp, Growl, Fire Spin, Take Down, Agility, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Rage, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Substitute, | 1, 40, | Ponyta, Rapidash, | , , 
Rapidash, 78, fire, , | —, —, —, —, 30, 32, 35, 39, 43, 48, TM06, TM07, TM08, TM09, TM10, TM15, TM20, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM50, | Ember, Tail Whip, Stomp, Growl, Tail Whip, Stomp, Growl, Fire Spin, Take Down, Agility, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Substitute, | 1, 40, | Ponyta, Rapidash, | , , 
Slowpoke, 79, water, psychic, | —, 18, 22, 27, 33, 40, 48, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM16, TM20, TM26, TM27, TM28, TM29, TM30, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM45, TM46, TM49, TM50, HM03, HM04, HM05, | Confusion, Disable, Headbutt, Growl, Water Gun, Amnesia, Psychic, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Pay Day, Rage, Earthquake, Fissure, Dig, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Surf, Strength, Flash, | 1, 37, | Slowpoke, Slowbro, | , , 
Slowbro, 80, water, psychic, | —, —, —, 18, 22, 27, 33, 37, 44, 55, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM16, TM17, TM18, TM19, TM20, TM26, TM27, TM28, TM29, TM30, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM45, TM46, TM49, TM50, HM03, HM04, HM05, | Confusion, Disable, Headbutt, Disable, Headbutt, Growl, Water Gun, Withdraw, Amnesia, Psychic, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Pay Day, Submission, Counter, Seismic Toss, Rage, Earthquake, Fissure, Dig, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Surf, Strength, Flash, | 1, 37, | Slowpoke, Slowbro, | , , 
Magnemite, 81, electric, , | —, 21, 25, 29, 35, 41, 47, TM06, TM09, TM10, TM20, TM24, TM25, TM30, TM31, TM32, TM33, TM34, TM39, TM44, TM45, TM50, HM05, | Tackle, Sonic Boom, Thunder Shock, Supersonic, Thunder Wave, Swift, Screech, Toxic, Take Down, Double-Edge, Rage, Thunderbolt, Thunder, Teleport, Mimic, Double Team, Reflect, Bide, Swift, Rest, Thunder Wave, Substitute, Flash, | 1, 30, | Magnemite, Magneton, | , , 
Magneton, 82, electric, , | —, —, —, 21, 25, 29, 38, 46, 54, TM06, TM09, TM10, TM15, TM20, TM24, TM25, TM30, TM31, TM32, TM33, TM34, TM39, TM44, TM45, TM50, HM05, | Tackle, Sonic Boom, Thunder Shock, Sonic Boom, Thunder Shock, Supersonic, Thunder Wave, Swift, Screech, Toxic, Take Down, Double-Edge, Hyper Beam, Rage, Thunderbolt, Thunder, Teleport, Mimic, Double Team, Reflect, Bide, Swift, Rest, Thunder Wave, Substitute, Flash, | 1, 30, | Magnemite, Magneton, | , , 
Farfetch'd, 83, normal, flying, | —, —, 7, 15, 23, 31, 39, TM02, TM03, TM04, TM06, TM08, TM09, TM10, TM20, TM31, TM32, TM33, TM34, TM39, TM40, TM44, TM50, HM01, HM02, | Peck, Sand-Attack, Leer, Fury Attack, Swords Dance, Agility, Slash, Razor Wind, Swords Dance, Whirlwind, Toxic, Body Slam, Take Down, Double-Edge, Rage, Mimic, Double Team, Reflect, Bide, Swift, Skull Bash, Rest, Substitute, Cut, Fly, | 1, | Farfetch'd, | , 
Doduo, 84, normal, flying, | —, 20, 24, 30, 36, 40, 44, TM04, TM06, TM08, TM09, TM10, TM20, TM31, TM32, TM33, TM34, TM40, TM43, TM44, TM49, TM50, HM02, | Peck, Growl, Fury Attack, Drill Peck, Rage, Tri Attack, Agility, Whirlwind, Toxic, Body Slam, Take Down, Double-Edge, Rage, Mimic, Double Team, Reflect, Bide, Skull Bash, Sky Attack, Rest, Tri Attack, Substitute, Fly, | 1, 31, | Doduo, Dodrio, | , , 
Dodrio, 85, normal, flying, | —, —, —, 20, 24, 30, 39, 45, 51, TM04, TM06, TM08, TM09, TM10, TM15, TM20, TM31, TM32, TM33, TM34, TM40, TM43, TM44, TM49, TM50, HM02, | Peck, Growl, Fury Attack, Growl, Fury Attack, Drill Peck, Rage, Tri Attack, Agility, Whirlwind, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Mimic, Double Team, Reflect, Bide, Skull Bash, Sky Attack, Rest, Tri Attack, Substitute, Fly, | 1, 31, | Doduo, Dodrio, | , , 
Seel, 86, water, , | —, 30, 35, 40, 45, 50, TM06, TM07, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM16, TM20, TM31, TM32, TM34, TM40, TM44, TM50, HM03, HM04, | Headbutt, Growl, Aurora Beam, Rest, Take Down, Ice Beam, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Pay Day, Rage, Mimic, Double Team, Bide, Skull Bash, Rest, Substitute, Surf, Strength, | 1, 34, | Seel, Dewgong, | , , 
Dewgong, 87, water, ice, | —, —, —, 30, 35, 44, 50, 56, TM06, TM07, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM16, TM20, TM31, TM32, TM34, TM40, TM44, TM50, HM03, HM04, | Headbutt, Growl, Aurora Beam, Growl, Aurora Beam, Rest, Take Down, Ice Beam, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Pay Day, Rage, Mimic, Double Team, Bide, Skull Bash, Rest, Substitute, Surf, Strength, | 1, 34, | Seel, Dewgong, | , , 
Grimer, 88, poison, , | —, —, 30, 33, 37, 42, 48, 55, TM06, TM08, TM20, TM21, TM24, TM25, TM31, TM32, TM34, TM36, TM38, TM44, TM47, TM50, | Pound, Disable, Poison Gas, Minimize, Sludge, Harden, Screech, Acid Armor, Toxic, Body Slam, Rage, Mega Drain, Thunderbolt, Thunder, Mimic, Double Team, Bide, Self-Destruct, Fire Blast, Rest, Explosion, Substitute, | 1, 38, | Grimer, Muk, | , , 
Muk, 89, poison, , | —, —, —, 30, 33, 37, 45, 53, 60, TM06, TM08, TM15, TM20, TM21, TM24, TM25, TM31, TM32, TM34, TM36, TM38, TM44, TM47, TM50, | Pound, Disable, Poison Gas, Poison Gas, Minimize, Sludge, Harden, Screech, Acid Armor, Toxic, Body Slam, Hyper Beam, Rage, Mega Drain, Thunderbolt, Thunder, Mimic, Double Team, Bide, Self-Destruct, Fire Blast, Rest, Explosion, Substitute, | 1, 38, | Grimer, Muk, | , , 
Shellder, 90, water, , | —, —, 18, 23, 30, 39, 50, TM06, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM30, TM31, TM32, TM33, TM34, TM36, TM39, TM44, TM47, TM49, TM50, HM03, | Tackle, Withdraw, Supersonic, Clamp, Aurora Beam, Leer, Ice Beam, Toxic, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Teleport, Mimic, Double Team, Reflect, Bide, Self-Destruct, Swift, Rest, Explosion, Tri Attack, Substitute, Surf, | 1, , | Shellder, Cloyster, | , waterstone, 
Cloyster, 91, water, ice, | —, —, —, —, 50, TM06, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM20, TM30, TM31, TM32, TM33, TM34, TM36, TM39, TM44, TM47, TM49, TM50, HM03, | Withdraw, Supersonic, Clamp, Aurora Beam, Spike Cannon, Toxic, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Rage, Teleport, Mimic, Double Team, Reflect, Bide, Self-Destruct, Swift, Rest, Explosion, Tri Attack, Substitute, Surf, | 1, , | Shellder, Cloyster, | , waterstone, 
Gastly, 92, ghost, poison, | —, —, —, 27, 35, TM06, TM20, TM21, TM24, TM25, TM29, TM31, TM32, TM34, TM36, TM42, TM44, TM46, TM47, TM50, | Lick, Confuse Ray, Night Shade, Hypnosis, Dream Eater, Toxic, Rage, Mega Drain, Thunderbolt, Thunder, Psychic, Mimic, Double Team, Bide, Self-Destruct, Dream Eater, Rest, Psywave, Explosion, Substitute, | 1, 25, , | Gastly, Haunter, Gengar, | , , Trade, 
Haunter, 93, ghost, poison, | —, —, —, 29, 38, TM06, TM20, TM21, TM24, TM25, TM29, TM31, TM32, TM34, TM36, TM42, TM44, TM46, TM47, TM50, | Lick, Confuse Ray, Night Shade, Hypnosis, Dream Eater, Toxic, Rage, Mega Drain, Thunderbolt, Thunder, Psychic, Mimic, Double Team, Bide, Self-Destruct, Dream Eater, Rest, Psywave, Explosion, Substitute, | 1, 25, , | Gastly, Haunter, Gengar, | , , Trade, 
